Symbol,Classification,Quantity Owned
AAPL,Stock,5.010683
ABBV,Stock,0.14879
ADBE,Stock,0.07465
ALB,Stock,19.197652
AMD,Stock,0.20664
AMZN,Stock,0.17243
ANET,Stock,0.47752
ARKF,ETF,24.29543
AVGO,Stock,0.19063
AXP,Stock,0.09867
BAC,Stock,0.84175
BMY,Stock,0.17314
BND,ETF,0.398852
BOTZ,ETF,10.42344
BRK.B,Stock,0.09038
BTC-USD,Crypto,0.11464975
BTF,ETF,4.18293
BX,Stock,0.14367
CMCSA,Stock,0.51668
COP,Stock,0.1872
CRM,Stock,0.15881
CSCO,Stock,0.15368
CVX,Stock,0.32901
DIV,ETF,20.854345000000000
DRIV,ETF,17.888398
DUK,Stock,0.24889
DUOL,Stock,2.0
DVA,Stock,0.02704
DVYA,ETF,29.87953
ETH-USD,Crypto,0.65333436
EWA,ETF,0.70582
EWJ,ETF,0.70745
EWT,ETF,0.30813
GILD,Stock,0.11064
GLD,Stock,1.08744
GOOGL,Stock,0.24655
GRAB,Stock,366.84015
HPQ,Stock,0.11872
IBM,Stock,0.04223
INDA,ETF,0.29211
IVW,ETF,26.587429
JNJ,Stock,0.17348
KHC,Stock,0.35491
KO,Stock,0.81583
LMT,Stock,0.03608
MCHI,ETF,0.58357
MCO,Stock,0.02573
MDT,Stock,0.32445
META,Stock,0.07963
MGNI,Stock,136.75869
MO,Stock,0.57157
MRK,Stock,0.05577
MSFT,Stock,2.033419
NFLX,Stock,5.0
NOK,Stock,173.46322
NVDA,Stock,40.51355
PEMEX,Bond,2000.0
PEP,Stock,0.15877
PM,Stock,0.243
PNC,Stock,0.11457
PZZA,Stock,20.92944
RDVY,ETF,3.611424
RIVN,Stock,148.83655000000000
SBUX,Stock,0.22064
SCHB,ETF,2.68826
SCHD,ETF,2.15172
SDIV,ETF,7.709312
SMH,ETF,0.12139
SMH,Stock,1.004267
SO,Stock,0.32348
TSLA,Stock,28.02171
TXN,Stock,0.13779
UBER,Stock,11.26126
VEA,Stock,0.363821
VONG,ETF,2.208454
VOO,ETF,8.824929000000000
VTI,ETF,9.13379
VWO,Stock,4.267441
VXUS,ETF,4.152318000000000
VZ,Stock,0.68246
WFC,Stock,0.11955
WMB,Stock,0.45875
XOM,Stock,0.40642